07:14:24.826 FINE | Run command: java -Xmx1024m -classpath /home/oraziorillo/Documents/projects/github/logist_simulation_workspace/logist/logist.jar logist.LogistPlatform -o tournament/tournament_main_vs_conservative/auction-auction_main_38-auction_conservative.xml -a tournament/tournament_main_vs_conservative/agents.xml config/auction.xml auction_main_38 auction_conservative
07:18:33.000 CONFIG | Opponent bids: 1247
07:18:33.000 CONFIG | LOST AUCTION
07:18:33.000 CONFIG | 
07:18:33.000 CONFIG | Opponent bid lower bound estimate: -88.87321274586569
07:18:33.675 CONFIG | Future diss: 0.11522084559924702
07:18:33.675 CONFIG | Task: (Task 7, 3 kg, 68101 CHF, London -> Manchester)
07:18:33.675 CONFIG | Marginal cost: 0.0
07:18:33.675 CONFIG | Relative marginal cost: 0.0
07:18:33.675 CONFIG | Tentative bid: 0.0
07:18:33.675 CONFIG | Bid: 173
07:18:34.774 CONFIG | Opponent bids: 599
07:18:34.774 CONFIG | WON AUCTION
07:18:34.774 CONFIG | 
07:18:34.774 CONFIG | Opponent bid lower bound estimate: 335.37522521943583
07:18:35.428 CONFIG | Future diss: 0.0626201465747844
07:18:35.428 CONFIG | Task: (Task 8, 3 kg, 41269 CHF, Plymouth -> Birmingham)
07:18:35.625 CONFIG | Marginal cost: 649.0
07:18:35.625 CONFIG | Relative marginal cost: 0.15610342754058928
07:18:35.625 CONFIG | Tentative bid: 828.2069069730281
07:18:35.626 CONFIG | Bid: 685
07:18:36.315 CONFIG | Opponent bids: 3653
07:18:36.316 CONFIG | WON AUCTION
07:18:36.316 CONFIG | 
07:18:36.316 CONFIG | Opponent bid lower bound estimate: -5.786881192874375
07:18:37.172 CONFIG | Future diss: 0.052605791413111065
07:18:37.175 CONFIG | Task: (Task 9, 3 kg, 75780 CHF, Portsmouth -> Plymouth)
07:18:37.175 CONFIG | Marginal cost: 1700.0
07:18:37.175 CONFIG | Relative marginal cost: 0.29022620571916347
07:18:37.175 CONFIG | Tentative bid: 2288.45279865759
07:18:37.175 CONFIG | Bid: 2138
07:18:38.415 CONFIG | Opponent bids: 928
07:18:38.416 CONFIG | LOST AUCTION
07:18:38.416 CONFIG | 
07:18:38.416 CONFIG | Opponent bid lower bound estimate: -248.43378076079944
07:18:39.755 CONFIG | Future diss: 0.0626201465747844
07:18:39.755 CONFIG | Task: (Task 10, 3 kg, 85625 CHF, Birmingham -> Cardiff)
07:18:39.755 CONFIG | Marginal cost: 0.0
07:18:39.755 CONFIG | Relative marginal cost: 0.0
07:18:39.755 CONFIG | Tentative bid: 0.0
07:18:39.755 CONFIG | Bid: 173
07:18:41.980 CONFIG | Opponent bids: 173
07:18:41.980 CONFIG | LOST AUCTION
07:18:41.980 CONFIG | 
07:18:41.981 CONFIG | Opponent bid lower bound estimate: -683.2797197123681
07:18:43.595 CONFIG | Future diss: 0.052605791413111065
07:18:43.595 CONFIG | Task: (Task 11, 3 kg, 55553 CHF, Portsmouth -> Sheffield)
07:18:43.595 CONFIG | Marginal cost: 0.0
07:18:43.595 CONFIG | Relative marginal cost: 0.0
07:18:43.595 CONFIG | Tentative bid: 0.0
07:18:43.595 CONFIG | Bid: 173
07:18:45.348 CONFIG | Opponent bids: 1283
07:18:45.348 CONFIG | WON AUCTION
07:18:45.348 CONFIG | 
07:18:45.349 CONFIG | Opponent bid lower bound estimate: -598.0113871071937
07:18:47.023 CONFIG | Future diss: 0.052605791413111065
07:18:47.024 CONFIG | Task: (Task 12, 3 kg, 68638 CHF, Cardiff -> Manchester)
07:18:47.024 CONFIG | Marginal cost: 0.0
07:18:47.025 CONFIG | Relative marginal cost: 0.0
07:18:47.025 CONFIG | Tentative bid: 0.0
07:18:47.025 CONFIG | Bid: 173
07:18:49.420 CONFIG | Opponent bids: 343
07:18:49.420 CONFIG | WON AUCTION
07:18:49.420 CONFIG | 
07:18:49.420 CONFIG | Opponent bid lower bound estimate: -317.4512174084036
07:18:51.613 CONFIG | Future diss: 0.0289316352221496
07:18:51.613 CONFIG | Task: (Task 13, 3 kg, 69390 CHF, Newcastle -> Manchester)
07:18:51.613 CONFIG | Marginal cost: 985.0
07:18:51.613 CONFIG | Relative marginal cost: 0.191541079241614
07:18:51.613 CONFIG | Tentative bid: 1274.7886164075392
07:18:51.614 CONFIG | Bid: 1235
07:18:54.126 CONFIG | Opponent bids: 432
07:18:54.127 CONFIG | LOST AUCTION
07:18:54.127 CONFIG | 
07:18:54.127 CONFIG | Opponent bid lower bound estimate: -741.1459069572803
07:18:56.165 CONFIG | Future diss: 0.04650708067663436
07:18:56.165 CONFIG | Task: (Task 14, 3 kg, 48501 CHF, Portsmouth -> Liverpool)
07:18:56.165 CONFIG | Marginal cost: 1799.0
07:18:56.165 CONFIG | Relative marginal cost: 0.3020230000839419
07:18:56.165 CONFIG | Tentative bid: 2433.1856712313324
07:18:56.165 CONFIG | Bid: 1845
07:18:58.489 CONFIG | Opponent bids: 2369
07:18:58.489 CONFIG | WON AUCTION
07:18:58.489 CONFIG | 
07:18:58.490 CONFIG | Opponent bid lower bound estimate: -677.5374432470564
07:19:01.550 CONFIG | Future diss: 0.04650708067663436
07:19:01.551 CONFIG | Task: (Task 15, 3 kg, 85840 CHF, Sheffield -> Liverpool)
07:19:01.551 CONFIG | Marginal cost: 0.0
07:19:01.551 CONFIG | Relative marginal cost: 0.0
07:19:01.551 CONFIG | Tentative bid: 0.0
07:19:01.551 CONFIG | Bid: 173
07:19:04.289 CONFIG | Opponent bids: 1691
07:19:04.289 CONFIG | WON AUCTION
07:19:04.289 CONFIG | 
07:19:04.290 CONFIG | Opponent bid lower bound estimate: -595.1939521972348
07:19:07.812 CONFIG | Future diss: 0.04650708067663436
07:19:08.000 CONFIG | Task: (Task 16, 3 kg, 85088 CHF, London -> Birmingham)
07:19:08.000 CONFIG | Marginal cost: -1799.0
07:19:08.000 CONFIG | Relative marginal cost: -0.432711966325917
07:19:08.000 CONFIG | Tentative bid: -1827.7322242759428
07:19:08.000 CONFIG | Bid: 173
07:19:12.311 CONFIG | Opponent bids: 592
07:19:12.311 CONFIG | WON AUCTION
07:19:12.311 CONFIG | 
07:19:12.311 CONFIG | Opponent bid lower bound estimate: -613.8831416969043
07:19:16.063 CONFIG | Future diss: 0.02967462994925277
07:19:16.063 CONFIG | Task: (Task 17, 3 kg, 72236 CHF, Portsmouth -> Norwich)
07:19:16.063 CONFIG | Marginal cost: 1898.0
07:19:16.063 CONFIG | Relative marginal cost: 0.31343406820246056
07:19:16.063 CONFIG | Tentative bid: 2578.848804975161
07:19:16.063 CONFIG | Bid: 2514
07:19:21.525 CONFIG | Opponent bids: 870
07:19:21.525 CONFIG | LOST AUCTION
07:19:21.525 CONFIG | 
07:19:21.525 CONFIG | Opponent bid lower bound estimate: -592.3117379768627
07:19:26.562 CONFIG | Future diss: 0.02967462994925277
07:19:26.562 CONFIG | Task: (Task 18, 3 kg, 41806 CHF, Plymouth -> Norwich)
07:19:26.562 CONFIG | Marginal cost: 3598.0
07:19:26.562 CONFIG | Relative marginal cost: 0.46392882470504804
07:19:26.562 CONFIG | Tentative bid: 5194.2420819968065
07:19:26.562 CONFIG | Bid: 4213
07:19:32.239 CONFIG | Opponent bids: 681
07:19:32.321 CONFIG | LOST AUCTION
07:19:32.321 CONFIG | 
07:19:32.321 CONFIG | Opponent bid lower bound estimate: -493.39581663482545
07:19:37.400 CONFIG | Future diss: 0.0335127396029875
07:19:37.400 CONFIG | Task: (Task 19, 3 kg, 62087 CHF, Cardiff -> Leeds)
07:19:37.586 CONFIG | Marginal cost: 0.0
07:19:37.586 CONFIG | Relative marginal cost: 0.0
07:19:37.586 CONFIG | Tentative bid: 0.0
07:19:37.586 CONFIG | Bid: 173
07:19:57.085 CONFIG | AGENT ID = 0
07:19:57.085 CONFIG | NUM TASKS WON AT AUCTION = 10
07:19:57.085 CONFIG | COST of the optimal plan = 7254.0
07:19:57.085 CONFIG | TOTAL PROFIT OF THE AGENT = 2274.0
07:19:57.085 CONFIG | 
07:19:57.092 CONFIG | Opponent bids: 1084
07:19:57.094 CONFIG | WON AUCTION
07:19:57.094 CONFIG | 
07:20:06.795 CONFIG | AGENT ID = 1
07:20:06.795 CONFIG | NUM TASKS WON AT AUCTION = 10
07:20:06.796 CONFIG | COST of the optimal plan = 4157.5
07:20:06.796 CONFIG | TOTAL PROFIT OF THE AGENT = 2482.5
07:20:06.796 CONFIG | 
07:20:36.685 CONFIG | Wrote tournament/tournament_main_vs_conservative/auction-auction_conservative-auction_main_38.xml
07:20:36.711 INFO | LogistPlatform finished successfully!
